id,postcode,title,update date,start date,end_date,country subentity,city,estimate overall contract amount,total amount,tax excslusive amount
789656,14193,Adquisición de lunas blindadas del vehículo Iveco Astra de dotación en el ET,2013-01-14,2012-12-10,2012-11-22,ESPAÑA,El Higuerón-Córdoba,No amount available,110000,90909.09
799013,33510,"Contratación de las obras de reparación de camino de La Calabaza a La Carizal, en San Martín de Anes",2013-01-14,No date available,No date available,ESPAÑA,Siero,No amount available,74657,61700
799014,28029,Organización y gestión de dos cnic conferences,2013-01-14,No date available,No date available,ESPAÑA,Madrid,98000,118580,98000
789658,14193,Adquisición de repuestos del sistema de embrague del vehículo Iveco Astra,2013-01-14,2012-12-10,2012-11-22,ESPAÑA,El Higuerón-Córdoba,No amount available,135000,111570.25
794273,39600,Suministro de Energía eléctrica del Ayuntamiento de Camargo,2013-01-14,No date available,2013-01-21,ESPAÑA,Muriedas - Camargo,2876033.05,1200000,991735.54
793950,28040,Servicio de aseo de la Oficina Técnica de Cooperación de España en Santiago de Chile,2013-01-14,No date available,No date available,ESPAÑA,Madrid,No amount available,13747.55,13747.55
789670,14193,Adquisición de repuestos para el sistema de bastidor y dirección del vehículo Iveco Astra,2013-01-14,2012-12-10,2012-11-22,ESPAÑA,El Higuerón-Córdoba,No amount available,90000,74380.17
799015,33510,"Contratación de las obras de reparación del camino de La Quintana, en La Carrera",2013-01-14,No date available,No date available,ESPAÑA,Siero,No amount available,97027.6,80188.1
789672,14193,Adquisición de repuestos para el sistema de manipulación Danroll 155VTT.02,2013-01-14,2012-12-10,2012-11-22,ESPAÑA,El Higuerón-Córdoba,No amount available,94000,77685.95
799016,28005,"Albañileria para la obra Adecuacion alojamiento planta 3º, academia de infanteria de Toledo.",2013-01-14,2012-03-18,No date available,ESPAÑA,Madrid,No amount available,190000,161061.95
799017,28048,Servicio para asistencia externa y colaboración de un titulado superior en las actividades de I+D del Centro,2013-01-14,2012-12-21,No date available,ESPAÑA,Madrid,8979.6,10865.32,8979.6
794011,28071,Adquisición de identificador / analizador de agentes químicos y tóxicos industriales,2013-01-14,2012-12-21,2012-12-04,ESPAÑA,Madrid,No amount available,41055.3,33930
794185,28006,"Sevicio de Limpieza en los centros del CSIC en Cataluña ( Iiia,Imb-Cnm,Icmab,Cid,Iibb,Delegación del CSIC,Ictja,Iae,Ceab,Cmima, e Ibb)",2013-01-14,2013-01-15,No date available,ESPAÑA,Madrid,No amount available,1035343.07,855655.42
794573,33007,"Suministro, en régimen de arrendamiento financiero, de dos vehículos todo-terreno y dos turismos para el Consorcio de Aguas de Asturias - 2012.",2013-01-14,2013-07-15,2012-12-26,ESPAÑA,Oviedo,187200,151008,124800
789902,28040,"El objetivo del presente estudio es potenciar sinergias entre los sectores de la salud y el turismo en España, identificando y configurando una oferta turística novedosa e innovadora, y detectando las necesidades de formación necesarias para incrementar la capacidad de las empresas de abrirse a nuevos mercados y ser más competitivas.",2013-01-14,No date available,2012-11-21,ESPAÑA,Madrid,44000,53240,44000
799018,33007,Suministro de un equipo de laboratorio para el análisis de algas con destino a la ETAP de Rioseco.,2013-01-14,2013-04-30,2013-01-29,ESPAÑA,Oviedo,33000,39930,33000
784025,28222,"Celebración de un Acuerdo Marco para la contratación en modalidad renting del suministro, instalación y retirada de equipamiento informático en los Centros de la Mutua.",2013-01-14,No date available,2012-11-07,ESPAÑA,Majadahonda (Madrid),4427100,4626072,3823200
799019,30870,"Suministro de dispositivos de impresión en régimen de arrendamiento para las distintas dependencias municipales del Ayuntamiento de Mazarrón, el software necesario para el control y gestión de los equipos y el mantenimiento de los mismos.",2013-01-14,2013-10-30,2013-02-27,ESPAÑA,Mazarrón (Murcia),198180.58,239798.5,198180.58
740434,28071,"Adquisición  de combustible, lavado y peajes de autopista para la flota de vehículos de la Confederación Hidrográfica del Tajo.",2013-01-14,2012-12-29,2012-10-15,ESPAÑA,Madrid,860000,520300,430000
794461,28040,"Servicio de mantenimiento de máquinas y auxiliares de la fuente de alimentación eléctrica del TJ-II, durante los años 2013 y 2014.",2013-01-14,2013-01-01,No date available,ESPAÑA,Madrid,171768,207839.28,171768
799020,33550,"Explotación, mantenimiento y conservación de las estaciones de depuración de aguas residuales del Ayuntamiento de Cangas de Onís",2013-01-14,2013-07-16,2013-03-15,ESPAÑA,"Cangas de Onís, Principado de Asturias",157936.8,130297.86,118452.6
799021,40200,Enajenación de los aprovechamientos maderables de la Comunidad para la anualidad 2013,2013-01-14,No date available,2013-01-28,ESPAÑA,Cuéllar,No amount available,108829.03,98935.48
799022,28002,Servicio de renovación de licencias de productos ESRI durante 2013,2013-01-14,2013-01-01,No date available,ESPAÑA,Madrid ,No amount available,73108.73,60420.44
799023,23071,"Suministro de equipamiento informático para los laboratorios de docencia del Departamento de Ingeniería Cartográfica, Geodésica y Fotogrametría",2013-01-14,2013-01-22,No date available,ESPAÑA,Jaén,20000,24200,20000
799024,28002,Servicio de renovación de licencias y mantenimiento ORACLE,2013-01-14,2013-01-04,No date available,ESPAÑA,Madrid ,No amount available,72812.83,60175.89
799025,28020,Servicios de primera atención médica practicada mediante soporte telefónico centralizado,2013-01-14,2013-01-15,No date available,ESPAÑA,Madrid,No amount available,32400,32400
799026,28330,Equipamiento laboratorio de ciberdefensa,2013-01-14,No date available,No date available,ESPAÑA,San Martín de la Vega (Madrid),74380.16,90000,74380.16
783667,28330,Herramientas de certificación de desarrollo seguro de software,2013-01-14,No date available,2012-10-24,ESPAÑA,San Martín de la Vega (Madrid),28925.62,35000,28925.62
799027,46920,suministro de pan,2013-01-14,2013-01-01,No date available,ESPAÑA,Mislata,No amount available,28822.82,27590.85
793864,46920,Suministro de productos no perecederos,2013-01-14,2013-01-01,No date available,ESPAÑA,Mislata,No amount available,45745.26,41728.26
